阿公店,A kong tiàm
交通,kau thong
交替,kau thuè
交替,kau thè
交仗,kau tiōng
交插,kau tshap
交叉,kau tshe
高長,kau tshiâng
交接,kau tsiap
交織,kau tsit
交戰,kau tsiàn
交際,kau tsè
交情,kau tsîng
交代,kau tài
交談,kau tâm
交纏,kau tînn
交換,kau uānn
溝仔,kau á
鉤仔,kau á
交椅,kau í
勾引,kau ín
交往,kau óng
軋,kauh
𩛩,kauh
𩛩肥,kauh puî
捔,ka̍k
加,ke
基,ke
家,ke
街,ke
雞,ke
雞肉,ke bah
雞摸,ke bong
雞尾脽,ke bué tsui
雞母皮,ke bó phuê
雞母蟲,ke bó thâng
街舞,ke bú
雞胸,ke hing
家伙,ke hué
家伙,ke hé
雞榆,ke jiû
家甲,ke kah
雞鵤,ke kak
雞鵤仔車,ke kak á tshia
加工,ke kang
雞公,ke kang
家家戶戶,ke ke hōo hōo
雞跤爪,ke kha jiáu
加減,ke kiám
雞胘,ke kiān
雞胿,ke kui
雞胿仔,ke kui á
雞髻,ke kuè
加講話,ke kóng uē
雞卷,ke kńg
雞籠,ke lam
街路,ke lōo
雞毛筅,ke mn̂g tshíng
雞卵,ke nn̄g
雞卵面,ke nn̄g bīn
雞卵卷,ke nn̄g kńg
雞卵清,ke nn̄g tshing
雞僆仔,ke nuā á
雞卵糕,ke nuī ko
雞腹內,ke pak lāi
雞排,ke pâi
家婆,ke pô
家私,ke si
雞翼,ke si̍t
雞屎運,ke sái ūn
街頭,ke thâu
雞桃仔,ke thô á
雞豚仔,ke thûn á
雞牢,ke tiâu
雞箠,ke tshuê
雞筅,ke tshíng
街市,ke tshī
雞精,ke tsing
雞酒,ke tsiú
雞罩,ke tà
雞𧉟,ke tâi
加話,ke uē
街仔,ke á
雞仔,ke á
雞仔目,ke á ba̍k
雞仔囝,ke á kiánn
街仔路,ke á lōo
家後,ke āu
嗝,keh
挌,keh
格,keh
膈,keh
鍥,keh
隔,keh
隔日,keh ji̍t
隔工,keh kang
隔開,keh khui
隔間,keh king
隔界,keh kài
隔日,keh li̍t
隔離,keh lī
隔暝,keh mê
隔暝,keh mî
隔年,keh nî
隔腹,keh pak
隔壁,keh piah
格式,keh sik
格調,keh tiāu
隔轉日,keh tńg ji̍t
隔轉工,keh tńg kang
隔轉日,keh tńg li̍t
隔轉年,keh tńg nî
格仔,keh á
鍥仔,keh á
庚,kenn
更,kenn
經,kenn
羹,kenn
驚,kenn
經跤經手,kenn kha kenn tshiú
羹麵,kenn mī
羹飯,kenn pn̄g
經絲,kenn si
經線,kenn suànn
驚蟄,kenn ti̍t
扴,ke̍h
扴味,ke̍h bī
咳,kha
尻,kha
茭,kha
跤,kha
跤目,kha ba̍k
跤尾,kha bué
跤尾飯,kha bué pn̄g
跤尾紙,kha bué tsuá
跤麻手痺,kha bâ tshiú pì
跤尾,kha bé
跤尾飯,kha bé pn̄g
跤尾紙,kha bé tsuá
跤模,kha bôo
跤模手印,kha bôo tshiú ìn
跤跡,kha jiah
跤爪,kha jiáu
跤曲,kha khiau
跤筋,kha kin
跤球,kha kiû
跤筋,kha kun
跤骨,kha kut
跤枷,kha kê
跤跡,kha liah
跤來手來,kha lâi tshiú lâi
跤爪,kha niáu
跤帛,kha pe̍h
茭白筍,kha pe̍h sún
跤縫,kha phāng
跤鼻臁,kha phīnn liâm
跤盤,kha puânn
跤捗,kha pôo
跤步,kha pōo
跤梢,kha sau
跤梢間仔,kha sau king á
跤液,kha sio̍h
跤數,kha siàu
跤兜,kha tau
跤踏車,kha ta̍h tshia
跤踏仔,kha ta̍h á
跤腿,kha thuí
跤桶,kha tháng
跤頭趺,kha thâu u
跤頭腕,kha thâu uánn
跤刀,kha to
枷車藤,kha tshia tîn
跤手,kha tshiú
尻川溝,kha tshng kau
尻川口,kha tshng kháu
尻川骨,kha tshng kut
尻川䫌,kha tshng phué
尻川斗,kha tshng táu
尻川後,kha tshng āu
尻川,kha tshuinn
尻脊,kha tsiah
尻脊骿,kha tsiah phiann
尻脊後,kha tsiah āu
跤尖手幼,kha tsiam tshiú iù
跤指頭仔,kha tsíng thâu á
跤底,kha tué
跤斗,kha táu
跤胴,kha tâng
跤胴骨,kha tâng kut
跤底,kha té
跤蹄,kha tê
跤擋,kha tòng
跤肚,kha tóo
跤肚骨,kha tóo kut
跤仔,kha á
跤後曲,kha āu khiau
跤後蹬,kha āu tenn
跤後肚,kha āu tóo
卡,khah
盍,khah
籗,khah
較,khah
較加,khah ke
較快,khah khuài
較講,khah kóng
卡片,khah phìnn
較輸,khah su
較停仔,khah thîng á
卡車,khah tshia
較早,khah tsá
較大面,khah tuā bīn
籗仔,khah á
開,khai
開業,khai gia̍p
開學,khai ha̍k
開發,khai huat
開放,khai hòng
開口,khai kháu
開墾,khai khún
開基,khai ki
開基祖,khai ki tsóo
開關,khai kuan
開講,khai káng
開朗,khai lóng
開播,khai pòo
開辦,khai pān
開設,khai siat
開銷,khai siau
開始,khai sí
開拓,khai thok
開張,khai tiong
開展,khai tián
開查某,khai tsa bóo
開採,khai tshái
開創,khai tshòng
開戰,khai tsiàn
開錢,khai tsînn
開端,khai tuan
開除,khai tû
開動,khai tōng
開用,khai īng
掮,khainn
殼,khak
確,khak
麴,khak
確認,khak jīn
確立,khak li̍p
確認,khak līn
確保,khak pó
確實,khak si̍t
確定,khak tīng
殼仔絃,khak á hiân
勘,kham
堪,kham
龕,kham
勘驗,kham giām
刊,khan
牽,khan
牽尪姨,khan ang î
刊物,khan bu̍t
牽挽,khan bán
牽亡,khan bông
牽牛,khan gû
牽核仔,khan ha̍t á
牽粉,khan hún
牽羹,khan kenn
牽抾,khan khioh
牽羹,khan kinn
牽公,khan kong
牽罟,khan koo
牽龜落湳,khan ku lo̍h làm
牽猴仔,khan kâu á
牽連,khan liân
牽羅經,khan lô kenn
牽羅經,khan lô kinn
牽師仔,khan sai á
牽絲,khan si
牽涉,khan sia̍p
牽線,khan suànn
牽成,khan sîng
牽拖,khan thua
牽豬哥,khan ti ko
刊登,khan ting
牽車,khan tshia
牽手,khan tshiú
刊載,khan tsài
牽豬哥,khan tu ko
牽藤,khan tîn
牽的,khan ê
牽引,khan ín
工,khang
空,khang
空虛,khang hi
空殼,khang khak
空殼厝,khang khak tshù
空殼支票,khang khak tsi phiò
空隙,khang khiah
工課,khang khuè
空間,khang king
空腹,khang pak
空縫,khang phāng
空房,khang pâng
空榫,khang sún
空頭,khang thâu
空手,khang tshiú
空喙,khang tshuì
空喙哺舌,khang tshuì pōo tsi̍h
空厝間,khang tshù king
空位,khang uī
坩,khann
坩仔,khann á
匼,khap
渴,khat
𣁳,khat
𣁳仔,khat á
剾,khau
扣,khau
敲,khau
薅,khau
鬮,khau
剾風,khau hong
剾皮,khau phuê
剾皮,khau phê
剾削,khau siah
剾痧,khau sua
剾洗,khau sué
剾洗,khau sé
剾刀,khau to
剾刀花,khau to hue
剾刀蔫,khau to lian
薅草,khau tsháu
剾仔,khau á
卡,kha̍h
闔,kha̍h
咯,kha̍k
咯血,kha̍k hueh
咯血,kha̍k huih
咯痰,kha̍k thâm
磕,kha̍p
磕未著,kha̍p buē tio̍h
磕袂著,kha̍p buē tio̍h
磕未著,kha̍p bē tio̍h
磕袂著,kha̍p bē tio̍h
磕頭,kha̍p thâu
磕著,kha̍p tio̍h
摳,kha̍unnh
刮,khe
溪,khe
詼諧,khe hâi
溪溝,khe kau
稽考,khe khó
溪哥仔,khe ko á
溪流,khe lâu
溪埔,khe poo
溪水,khe tsuí
溪仔,khe á
溪仔墘,khe á kînn
客,kheh
瞌,kheh
篋,kheh
𤲍,kheh
客滿,kheh buán
客源,kheh guân
客戶,kheh hōo
客家,kheh ka
客氣,kheh khì
客機,kheh ki
客觀,kheh kuan
客房,kheh pâng
𤲍燒,kheh sio
客廳,kheh thiann
客串,kheh tshuàn
客鳥,kheh tsiáu
客棧,kheh tsàn
篋仔,kheh á
客運,kheh ūn
坑,khenn
坑溝,khenn kau
坑崁,khenn khàm
喀喀嗽,khennh khennh sàu
挈,khe̍h
喀,khe̍nnh
喀痰,khe̍nnh thâm
敧,khi
欺,khi
蹊,khi
欺負,khi hū
蹊蹺,khi khiau
欺瞞,khi muâ
欺騙,khi phiàn
欺貧重富,khi pîn tiōng hù
奇,khia
迦,khia
欹空,khia khang
奇數,khia sòo
隙,khiah
歉,khiam
謙,khiam
謙虛,khiam hi
謙卑,khiam pi
圈,khian
掔,khian
牽,khian
圈仔,khian á
勍,khiang
勍仔,khiang á
㾀,khiap
怯,khiap
㾀勢,khiap sì
㾀勢命,khiap sì miā
戛,khiat
揭,khiat
詰,khiat
譎,khiat
頡,khiat
戛火,khiat hué
戛火,khiat hé
戛仔頭,khiat á thâu
曲,khiau
蹺,khiau
曲跤,khiau kha
曲去,khiau khì
曲痀,khiau ku
確,khia̍k
坷,khia̍t
缺,khih
缺角,khih kak
缺喙,khih tshuì
克,khik
刻,khik
剋,khik
客,khik
曲,khik
克服,khik ho̍k
克虧,khik khui
刻薄,khik po̍k
曲盤,khik puânn
刻板,khik pán
刻印仔,khik ìn á
欽,khim
矜,khim
襟,khim
輕,khin
輕銀,khin gîn
輕銀,khin gûn
輕型,khin hîng
輕柔,khin jiû
輕輕鬆鬆,khin khin sang sang
輕快,khin khuài
輕可,khin khó
輕柔,khin liû
輕便,khin piān
輕薄,khin po̍h
輕鬆,khin sang
輕聲細說,khin siann suè seh
輕聲細說,khin siann sè sueh
輕傷,khin siong
輕視,khin sī
輕手,khin tshiú
輕秤,khin tshìn
輕重,khin tāng
輕易,khin ī
傾,khing
卿,khing
坑,khing
框,khing
筐,khing
輕,khing
銎,khing
頃,khing
傾向,khing hiòng
輕便,khing piān
輕便車,khing piān tshia
傾銷,khing siau
筐仔,khing á
坑溝,khinn kau
抾,khioh
抾肉幼仔,khioh bah iù á
抾囡仔,khioh gín á
抾恨,khioh hīn
抾恨,khioh hūn
抾字紙的,khioh jī tsuá ê
抾捔,khioh ka̍k
抾客,khioh kheh
抾囝母,khioh kiánn bú
抾骨,khioh kut
抾襇,khioh kíng
抾字紙的,khioh lī tsuá ê
抾拾,khioh si̍p
抾稅,khioh suè
抾稅,khioh sè
抾丁錢,khioh ting tsînn
抾著,khioh tio̍h
抾菜,khioh tshài
抾柴,khioh tshâ
抾水,khioh tsuí
抾錢,khioh tsînn
抾紅點仔,khioh âng tiám á
卻,khiok
曲,khiok
曲線,khiok suànn
卻是,khiok sī
僵,khiong
姜,khiong
殭,khiong
腔,khiong
殭屍,khiong si
吸,khip
泣,khip
吸收,khip siu
吸石,khip tsio̍h
吸引,khip ín
乞,khit
乞食琴,khit tsia̍h khîm
乞食命,khit tsia̍h miā
乞食頭,khit tsia̍h thâu
乞食,khit tsiā
乞的,khit ê
丘,khiu
鳩,khiu
姜,khiunn
腔,khiunn
腔口,khiunn kháu
欠,khiàm
歉,khiàm
芡,khiàm
欠安,khiàm an
欠血,khiàm hueh
欠血,khiàm huih
欠缺,khiàm kheh
欠缺,khiàm khueh
欠數,khiàm siàu
欠債,khiàm tsè
欠用,khiàm īng
芡,khiàn
譴,khiàn
芡滷,khiàn lóo
芡芳,khiàn phang
譴損,khiàn sńg
勥,khiàng
勥跤,khiàng kha
竅,khiàu
翹,khiàu
翹翹,khiàu khiàu
犬,khián
譴,khián
遣,khián
譴責,khián tsik
巧,khiáu
巧神,khiáu sîn
騎,khiâ
騎馬,khiâ bé
騎車,khiâ tshia
鉗,khiâm
乾,khiân
虔,khiân
虔誠,khiân sîng
叩,khiò
徼,khiò
竅,khiò
筧,khiò
叩首,khiò siú
口,khió
恐,khióng
恐驚,khióng kiann
恐龍,khióng liông
恐怖,khióng pòo
瓊,khiông
搝,khiú
搝搝搦搦,khiú khiú la̍k la̍k
搝票,khiú phiò
搝大索,khiú tuā soh
搝後跤,khiú āu kha
虯,khiû
虯虯,khiû khiû
虯儉,khiû khiām
虯毛,khiû mn̂g
徛,khiā
徛眉,khiā bâi
徛鵝,khiā gô
徛家,khiā ke
徛家厝,khiā ke tshù
徛起,khiā khí
徛靈,khiā lîng
徛名,khiā miâ
徛黃,khiā n̂g
徛票,khiā phiò
徛屏,khiā pîn
徛泅,khiā siû
徛壽,khiā siū
徛算,khiā sǹg
徛算講,khiā sǹg kóng
徛頭,khiā thâu
徛燈篙,khiā ting ko
徛秋,khiā tshiu
徛台,khiā tâi
徛衛兵,khiā uē ping
儉,khiām
儉儉仔用,khiām khiām á īng
儉腸凹肚,khiām tn̂g neh tōo
儉錢,khiām tsînn
𩚨,khiū
𩚨嗲嗲,khiū teh teh
噤,khiūnn
噤喙,khiūnn tshuì
扱,khi̍p
杙,khi̍t
煡,khi̍t
杙仔,khi̍t á
康,khng
糠,khng
糠𧉟,khng tâi
吭,khngh
柯,kho
科,kho
苛,kho
科目,kho bo̍k
科學,kho ha̍k
科系,kho hē
科技,kho ki
科長,kho tiúnn
科員,kho uân
擴,khok
殼,khok
涸,khok
硞,khok
觳,khok
酷,khok
鵠,khok
酷刑,khok hîng
擴擴,khok khok
擴建,khok kiàn
擴頭,khok thâu
擴張,khok tiong
擴展,khok tián
擴充,khok tshiong
擴大,khok tāi
觳仔,khok á
觳仔餅,khok á piánn
觳仔炱,khok á te
康,khong
悾,khong
框,khong
空,khong
筐,khong
糠,khong
悾闇,khong am
空服,khong ho̍k
空間,khong kan
悾悾,khong khong
悾歁,khong khám
空氣,khong khì
康健,khong kiān
空軍,khong kun
槺榔,khong lông
空難,khong lān
空襲,khong si̍p
空思夢想,khong su bōng sióng
悾顛,khong tian
空中,khong tiong
空調,khong tiâu
空戰,khong tsiàn
空姐,khong tsiá
空前,khong tsiân
空大,khong tāi
空運,khong ūn
可,khoo
呼,khoo
箍,khoo
可可仔,khoo khóo ah
箍絡,khoo lo̍h
呼觱仔,khoo pi á
箍半,khoo puànn
呼噓仔,khoo su̍t á
呼蛋,khoo tuann
呼噎仔,khoo uh á
柝,kho̍k
硞,kho̍k
鱷,kho̍k
嘓魚,kho̍k hî
鱷魚,kho̍k hî
鱷魚,kho̍k hû
硞著,kho̍k tio̍h
硞仔,kho̍k á
柝仔頭,kho̍k á thâu
丘,khu
區,khu
坵,khu
拘,khu
軀,khu
驅,khu
區域,khu hi̍k
區分,khu hun
區間,khu kan
區公所,khu kong sóo
拘留,khu liû
區別,khu pia̍t
拘束,khu sok
區長,khu tiúnn
區段,khu tuānn
驅動,khu tōng
區運,khu ūn
誇,khua
誇口,khua kháu
渴,khuah
闊,khuah
闊莽莽,khuah bóng bóng
闊閬閬,khuah lòng lòng
闊腹,khuah pak
闊喙,khuah tshuì
圈,khuan
寬,khuan
寬限,khuan hān
寬容,khuan iông
寬頻,khuan pîn
寬恕,khuan sù
圈套,khuan thò
寬,khuann
寬寬仔,khuann khuann á
寬寬仔是,khuann khuann á sī
寬行,khuann kiânn
缺,khuat
闕,khuat
缺憾,khuat hām
缺陷,khuat hām
缺失,khuat sit
缺席,khuat si̍k
缺點,khuat tiám
恢,khue
盔,khue
詼,khue
魁,khue
恢復,khue ho̍k
詼諧,khue hâi
溪溝,khue kau
溪流,khue lâu
溪埔,khue poo
葵扇,khue sìnn
溪水,khue tsuí
溪仔,khue á
溪仔墘,khue á kînn
缺,khueh
𤲍,khueh
𤲍燒,khueh sio
呿,khuh
呿呿嗽,khuh khuh sàu
窺,khui
虧,khui
開,khui
開面,khui bīn
開幕,khui bōo
開花,khui hue
開會,khui huē
開戶,khui hōo
開藥仔,khui io̍h á
開跤褲,khui kha khòo
虧欠,khui khiàm
開竅,khui khiàu
虧空,khui khong
開闊,khui khuah
開開,khui khui
開課,khui khò
開機,khui ki
開裾,khui ki
開裾,khui ku
開價,khui kè
開路,khui lōo
開門,khui mn̂g
開票,khui phiò
開破,khui phuà
開標,khui pio
開盤,khui puânn
開脾,khui pî
開聲,khui siann
虧心,khui sim
虧損,khui sńg
開拆,khui thiah
開店,khui tiàm
開刀,khui to
開桌,khui toh
開車,khui tshia
開臊,khui tsho
開喙,khui tshuì
開市,khui tshī
開正,khui tsiann
開單,khui tuann
開庭,khui tîng
開仔,khui á
坤,khun
昆,khun
髡,khun
屈,khut
窟,khut
屈服,khut ho̍k
窟仔,khut á
掛,khuà
靠,khuà
掛心,khuà sim
快,khuài
快感,khuài kám
快樂,khuài lo̍k
快門,khuài mn̂g
快速,khuài sok
快車,khuài tshia
勸,khuàn
勸解,khuàn kái
勸善,khuàn siān
看,khuànn
看袂起,khuànn buē khí
看袂上目,khuànn buē tsiūnn ba̍k
看無,khuànn bô
看無起,khuànn bô khí
看袂起,khuànn bē khí
看袂上目,khuànn bē tsiūnn ba̍k
看現現,khuànn hiān hiān
看風水,khuànn hong suí
看法,khuànn huat
看醫生,khuànn i sing
看樣,khuànn iūnn
看日,khuànn ji̍t
看輕,khuànn khin
看款,khuànn khuán
看口,khuànn kháu
看見,khuànn kìnn
看顧,khuànn kòo
看日,khuànn li̍t
看來,khuànn lâi
看人無,khuànn lâng bô
看命,khuànn miā
看命仙,khuànn miā sian
看覓,khuànn māi
看破,khuànn phuà
看破跤手,khuànn phuà kha tshiú
看病,khuànn pēnn
看病,khuànn pīnn
看衰,khuànn sue
看頭,khuànn thâu
看待,khuànn thāi
看重,khuànn tiōng
看出,khuànn tshut
看出出,khuànn tshut tshut
看會起,khuànn ē khí
看有,khuànn ū
看有起,khuànn ū khí
可,khuá
款,khuán
款勸,khuán khǹg
款式,khuán sik
款待,khuán thāi
款,khuánn
權,khuân
環,khuân
權限,khuân hān
權益,khuân ik
環球,khuân kiû
環境,khuân kíng
權力,khuân li̍k
權利,khuân lī
環保,khuân pó
權勢,khuân sè
環節,khuân tsiat
環島,khuân tó
環島,khuân tóo
權威,khuân ui
架,khuè
課,khuè
齧,khuè
契母,khuè bú
契約,khuè iok
架跤,khuè kha
契囝,khuè kiánn
契爸,khuè pē
瘸,khuê
葵,khuê
瘸跤,khuê kha
瘸手,khuê tshiú
愧,khuì
氣,khuì
潰,khuì
潰瘍,khuì iông
氣口,khuì kháu
氣力,khuì la̍t
勸,khuìnn
快,khuìnn
快活,khuìnn ua̍h
傀,khuí
詭,khuí
𣮈,khu̍t
𣮈頭山,khu̍t thâu suann
敲,khà
敲油,khà iû
敲門,khà mn̂g
敲電話,khà tiān uē
慨,khài
概,khài
勘,khàm
崁,khàm
崁跤,khàm kha
崁蓋,khàm kuà
崁頭崁面,khàm thâu khàm bīn
崁頂,khàm tíng
看,khàn
看護婦,khàn hōo hū
控,khàng
空,khàng
空白,khàng pe̍h
空地,khàng tuē
空地,khàng tē
叩,khàu
哭,khàu
扣,khàu
銬,khàu
扣押,khàu ah
哭枵,khàu iau
扣留,khàu liû
哭賴,khàu luā
哭路頭,khàu lōo thâu
哭爸,khàu pē
哭爸哭母,khàu pē khàu bú
叩謝,khàu siā
叩頭,khàu thâu
扣掉,khàu tiāu
哭調仔,khàu tiāu á
哭呻,khàu tshan
扣抵,khàu tí
扣除,khàu tû
巧,khá
巧合,khá ha̍p
凱,khái
楷,khái
楷模,khái bôo
敱,kháinn
坎,khám
歁,khám
砍,khám
歁歁,khám khám
坎坎坷坷,khám khám khia̍t khia̍t
歁頭歁面,khám thâu khám bīn
坎站,khám tsām
歁話,khám uē
坎仔,khám á
孔,kháng
口,kháu
巧,kháu
口味,kháu bī
口面,kháu bīn
口語,kháu gí
口語,kháu gú
口服,kháu ho̍k
口號,kháu hō
口音,kháu im
口譯,kháu i̍k
口氣,kháu khì
口琴,kháu khîm
口供,kháu king
口白,kháu pe̍h
口頭,kháu thâu
口試,kháu tshì
口灶,kháu tsàu
口才,kháu tsâi
口座,kháu tsō
契,khè
架,khè
齧,khè
契母,khè bú
契兄,khè hiann
契約,khè iok
架跤,khè kha
契囝,khè kiánn
契爸,khè pē
啟,khé
啟明,khé bîng
啟發,khé huat
啟示,khé sī
啟事,khé sū
㧎,khê
瘸,khê
企,khì
去,khì
器,khì
棄,khì
氣,khì
汽,khì
氣壓,khì ap
氣味,khì bī
企業,khì gia̍p
棄嫌,khì hiâm
氣氛,khì hun
氣候,khì hāu
汽油,khì iû
棄權,khì khuân
氣概,khì khài
氣功,khì kong
器官,khì kuan
企管,khì kuán
器具,khì kū
去了了,khì liáu liáu
氣流,khì liû
氣魄,khì phik
氣怫怫,khì phut phut
氣派,khì phài
氣色,khì sik
氣身惱命,khì sin lóo miā
去傷解鬱,khì siong kái ut
氣象,khì siōng
棄世,khì sè
氣勢,khì sè
氣數,khì sòo
氣暢忍,khì thiòng lún
氣體,khì thé
器重,khì tiōng
汽車,khì tshia
氣掣掣,khì tshuah tshuah
氣質,khì tsit
汽水,khì tsuí
器材,khì tsâi
去倒,khì tò
企圖,khì tôo
去除,khì tû
氣溫,khì un
氣運,khì ūn
慶,khìng
慶賀,khìng hō
慶典,khìng tián
慶祝,khìng tsiok
綺,khí
豈,khí
起,khí
齒,khí
齒抿仔,khí bín á
起無空,khí bô khang
起源,khí guân
起戇,khí gōng
起雄,khí hiông
起風,khí hong
起火,khí hué
齒岸,khí huānn
起火,khí hé
齒粉,khí hún
起因,khí in
起藥蛆,khí io̍h tshi
起藥蛆,khí io̍h tshu
豈有此理,khí iú tshú lí
起蛟龍,khí kau lîng
起家,khí ke
起雞母皮,khí ke bó phuê
起跤動手,khí kha tāng tshiú
齒科,khí kho
齒觳仔,khí khok á
起行,khí kiânn
齒膏,khí ko
起雞母皮,khí kue bó phê
起駕,khí kà
起價,khí kè
起鼓,khí kóo
起狂,khí kông
起落,khí lo̍h
起來,khí lâi
起毛,khí moo
起毛䆀,khí moo bái
起毛婸,khí moo giang
起碼,khí má
紀年,khí nî
齒包,khí pau
起飛,khí pe
起呸面,khí phuì bīn
起帆,khí phâng
齒縫,khí phāng
起飛,khí pue
齒杯,khí pue
起豹飆,khí pà pio
起磅,khí pōng
起步,khí pōo
起色,khí sik
起身,khí sin
起先,khí sing
起痟,khí siáu
齒𣻸,khí siûnn
起性地,khí sìng tuē
起性地,khí sìng tē
起訴,khí sòo
起事,khí sū
齒戳仔,khí thok á
起頭,khí thâu
起程,khí thîng
起點,khí tiám
起碇,khí tiānn
起𪁎,khí tshio
起手,khí tshiú
起床,khí tshn̂g
起初,khí tshoo
起凊瘼,khí tshìn mo̍oh
起草,khí tshó
起厝,khí tshù
起酒痟,khí tsiú siáu
起童,khí tâng
寢,khím
淺,khín
肯,khíng
頃,khíng
肯定,khíng tīng
疧,khî
蜞,khî
騎,khî
騎士,khî sū
擒,khîm
琴,khîm
禽,khîm
琴子,khîm jí
禽獸,khîm siù
勤,khîn
芹,khîn
勤務,khîn bū
勤儉,khîn khiām
芹菜,khîn tshài
擎,khîng
瓊,khîng
窮,khîng
瓊花,khîng hue
窮分,khîng hun
窮究,khîng kiù
窮實,khîng si̍t
窮真,khîng tsin
拑,khînn
鉗,khînn
拑家,khînn ke
拑牢牢,khînn tiâu tiâu
鉗仔,khînn á
犒,khò
課,khò
靠,khò
課文,khò bûn
課業,khò gia̍p
靠岸,khò huānn
課本,khò pún
靠傷,khò siong
靠俗,khò sio̍k
靠山,khò suann
靠勢,khò sè
靠著,khò tio̍h
課長,khò tiúnn
課堂,khò tn̂g
課題,khò tuê
課題,khò tê
課程,khò tîng
洘旱,khò uānn
壙,khòng
抗,khòng
控,khòng
曠,khòng
炕,khòng
礦,khòng
空,khòng
炕肉,khòng bah
炕肉飯,khòng bah pn̄g
礦物,khòng bu̍t
礦業,khòng gia̍p
抗議,khòng gī
抗衡,khòng hîng
抗藥性,khòng io̍h sìng
炕窯,khòng iô
曠闊,khòng khuah
控管,khòng kuán
控告,khòng kò
抗生素,khòng sing sòo
控訴,khòng sòo
抗體,khòng thé
曠床,khòng tshn̂g
炕菜頭,khòng tshài thâu
抗爭,khòng tsing
礦石,khòng tsio̍h
礦泉水,khòng tsuânn tsuí
控制,khòng tsè
庫,khòo
怐,khòo
褲,khòo
庫銀,khòo gîn
庫銀,khòo gûn
褲跤,khòo kha
怐怐,khòo khòo
庫房,khòo pâng
褲頭,khòo thâu
庫錢,khòo tsînn
庫存,khòo tsûn
褲帶,khòo tuà
褲袋仔,khòo tē á
可,khó
洘,khó
考,khó
考驗,khó giām
可疑,khó gî
考核,khó hi̍k
可靠,khó khò
可見,khó kiàn
考官,khó kuann
可貴,khó kuì
考卷,khó kǹg
可憐,khó liân
可憐代,khó liân tāi
洘流,khó lâu
可能,khó lîng
考慮,khó lī
考慮,khó lū
可惱,khó náu
可怕,khó phà
可比,khó pí
考生,khó sing
可惜,khó sioh
洘頭糜,khó thâu bê
洘頭糜,khó thâu muê
考場,khó tiûnn
考察,khó tshat
考試,khó tshì
考試單,khó tshì tuann
可取,khó tshú
洘秫秫,khó tsu̍t tsu̍t
考證,khó tsìng
可愛,khó ài
可以,khó í
可惡,khó ònn
孔,khóng
慷,khóng
紺,khóng
孔明車,khóng bîng tshia
慷慨,khóng khài
紺色,khóng sik
孔雀,khóng tshiok
可,khóo
苦,khóo
許,khóo
苦悶,khóo būn
苦花,khóo hue
苦海,khóo hái
苦甘,khóo kam
苦工,khóo kang
苦苦,khóo khóo
苦勸,khóo khǹg
苦瓜,khóo kue
苦瓜封,khóo kue hong
苦難,khóo lān
苦楝仔,khóo līng á
苦毛仔,khóo mn̂g á
苦心,khóo sim
苦毒,khóo to̍k
苦齣,khóo tshut
苦情,khóo tsîng
苦旦,khóo tuànn
苦茶油,khóo tê iû
苛,khô
苛頭,khô thâu
困,khùn
睏,khùn
睏尾,khùn bué
睏尾,khùn bé
睏眠,khùn bîn
困擾,khùn jiáu
睏褲,khùn khòo
困苦,khùn khóo
困境,khùn kíng
困擾,khùn liáu
困難,khùn lân
睏癖,khùn phiah
睏房,khùn pâng
睏衫,khùn sann
睏坦敧,khùn thán khi
睏中晝,khùn tiong tàu
睏醒,khùn tshénn
睏醒,khùn tshínn
睏一醒,khùn tsi̍t tshénn
睏一醒,khùn tsi̍t tshínn
睏晝,khùn tàu
墾,khún
懇,khún
捆,khún
窘,khún
懇求,khún kiû
捆縛,khún pa̍k
跍,khû
囷,khûn
蜷,khûn
勤務,khûn bū
勤儉,khûn khiām
芹菜,khûn tshài
忌,khī
柿,khī
柿粿,khī kué
柿粿,khī ké
柿餅,khī piánn
柿霜,khī sng
柿霜粉,khī song hún
忌床,khī tshn̂g
忌喙,khī tshuì
柿仔,khī á
虹,khīng
吭,khōng
鞏,khōng
吭跤翹,khōng kha khiàu
俱,khū
具,khū
臼,khū
俱樂部,khū lo̍k pōo
囥,khǹg
囥歲,khǹg huè
囥歲,khǹg hè
勸和,khǹg hô
囥步,khǹg pōo
囥話,khǹg uē
乩,ki
吱,ki
基,ki
妓,ki
居,ki
技,ki
支,ki
期,ki
枝,ki
梔,ki
機,ki
箕,ki
肌,ki
肢,ki
裾,ki
譏,ki
車,ki
飢,ki
機密,ki bi̍t
居民,ki bîn
技藝,ki gē
飢荒,ki hng
機會,ki huē
機型,ki hîng
機械,ki hāi
基因,ki in
機緣,ki iân
機油,ki iû
技工,ki kang
技巧,ki khá
機器,ki khì
機器桶,ki khì tháng
基金,ki kim
機關,ki kuan
機關銃,ki kuan tshìng
機構,ki kòo
機率,ki lu̍t
妓女,ki lí
技能,ki lîng
機能,ki lîng
妓女,ki lú
機票,ki phiò
機房,ki pâng
